City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Rockland,US,41.1668,-74.0496,46.96,48,100,1.01,overcast clouds
125,Merseburg,DE,51.3667,12.0,55.11,84,20,12.66,few clouds
126,Halifax,CA,44.6453,-63.5724,34.21,77,100,5.75,overcast clouds
127,Hasaki,JP,35.7333,140.8333,66.6,52,99,15.32,overcast clouds
128,Kaitangata,NZ,-46.2817,169.8464,53.56,96,100,2.44,moderate rain
129,Rudbar,AF,30.15,62.6,98.2,13,1,11.92,clear sky
130,Gimbi,ET,9.1667,35.8333,64.98,72,83,2.04,broken clouds
131,Avarua,CK,-21.2078,-159.775,80.65,89,75,2.3,broken clouds
132,Diffa,NE,13.3154,12.6113,86.0,39,26,11.61,scattered clouds
133,Santiago Del Estero,AR,-27.7951,-64.2615,67.82,56,100,7.7,overcast clouds
134,Karwar,IN,14.8,74.1333,87.69,64,19,10.38,few clouds
135,Riobamba,EC,-1.6667,-78.6333,52.77,95,100,2.71,light rain
136,Spas-Demensk,RU,54.4122,34.0226,52.86,72,99,9.57,overcast clouds
137,Roald,NO,62.5833,6.1333,44.76,70,40,6.91,scattered clouds
138,Gunnedah,AU,-30.9833,150.25,65.5,25,0,4.83,clear sky
139,Broken Hill,AU,-31.95,141.4333,61.2,49,0,8.23,clear sky
140,Kirakira,SB,-10.4544,161.9205,82.02,82,93,10.27,overcast clouds
141,Vaitape,PF,-16.5167,-151.75,82.18,73,15,8.05,few clouds
142,Karratha,AU,-20.7377,116.8463,84.36,39,90,18.95,overcast clouds
143,Souillac,MU,-20.5167,57.5167,80.98,69,40,11.5,scattered clouds
144,Alugan,PH,12.2188,125.4808,84.83,74,44,12.88,scattered clouds
145,Yulara,AU,-25.2406,130.9889,69.64,19,1,9.22,clear sky
146,Defiance,US,41.3334,-84.45,46.42,53,0,5.75,clear sky
147,Chipinge,ZW,-20.1883,32.6236,66.34,59,31,2.62,scattered clouds
148,Vostok,RU,46.4856,135.8833,41.02,75,100,10.69,overcast clouds
149,Champerico,GT,14.3,-91.9167,83.55,77,93,8.1,overcast clouds
150,Ust-Tsilma,RU,65.441,52.1498,51.12,83,51,10.94,broken clouds
151,Saint-Augustin,CA,51.226,-58.6502,30.7,72,10,10.07,clear sky
152,Lata,PT,40.1629,-8.3327,53.08,58,98,3.42,overcast clouds
153,Tiksi,RU,71.6872,128.8694,20.61,73,39,4.0,scattered clouds
154,Nikolskoye,RU,59.7035,30.7861,48.7,82,100,8.66,overcast clouds
155,Sitka,US,57.0531,-135.33,46.29,66,20,9.22,few clouds
156,Tuktoyaktuk,CA,69.4541,-133.0374,31.5,93,94,10.63,overcast clouds
157,Hobart,AU,-42.8794,147.3294,59.05,59,20,9.22,few clouds
158,Nome,US,64.5011,-165.4064,32.07,93,100,14.97,mist
159,Victoria,HK,22.2855,114.1577,83.17,63,68,15.01,light rain
160,Hambantota,LK,6.1241,81.1185,91.74,70,75,13.8,broken clouds
161,Ahuimanu,US,21.4447,-157.8378,76.75,74,75,16.11,broken clouds
162,Pederneiras,BR,-22.3517,-48.775,59.47,90,13,9.73,few clouds
163,Nakamura,JP,32.9833,132.9333,74.17,61,30,7.23,scattered clouds
164,Dunedin,NZ,-45.8742,170.5036,58.8,82,100,5.61,overcast clouds
165,Chioggia,IT,45.2256,12.2889,64.13,76,100,13.47,overcast clouds
166,Casa Grande,US,32.8795,-111.7573,82.81,14,0,11.5,clear sky
167,Bratsk,RU,56.1325,101.6142,46.89,34,100,19.26,overcast clouds
168,Tuatapere,NZ,-46.1333,167.6833,55.26,92,100,3.29,overcast clouds
169,Deputatskiy,RU,69.3,139.9,20.68,70,99,5.37,overcast clouds
170,Cidreira,BR,-30.1811,-50.2056,62.04,81,0,10.58,clear sky
171,Ponta Do Sol,PT,32.6667,-17.1,63.72,63,77,6.69,broken clouds
172,Komsomolskiy,UZ,40.4272,71.7189,84.92,30,0,6.91,clear sky
173,Banepa,NP,27.6298,85.5214,77.32,57,75,5.75,broken clouds
174,Lorengau,PG,-2.0226,147.2712,83.64,77,69,15.86,broken clouds
175,Moerai,PF,-22.4333,-151.3333,79.23,74,53,11.41,broken clouds
176,Georgetown,MY,5.4112,100.3354,91.35,62,40,10.36,light rain
177,Zhezkazgan,KZ,47.8043,67.7144,51.78,46,75,24.61,broken clouds
178,Vao,NC,-22.6667,167.4833,73.87,72,58,20.04,broken clouds
179,Zaozerne,UA,45.1582,33.2787,55.6,66,6,11.74,clear sky
180,Airai,TL,-8.9266,125.4092,69.85,70,64,5.26,broken clouds
181,Hilo,US,19.7297,-155.09,75.27,89,100,10.36,moderate rain
182,Sanming,CN,26.2486,117.6186,75.74,85,100,2.93,overcast clouds
183,Xiaoshi,CN,41.2971,124.1209,64.74,22,100,2.04,overcast clouds
184,Hami,CN,42.8,93.45,81.03,22,100,16.46,moderate rain
185,Virtsu,EE,58.5716,23.5115,46.98,46,21,15.52,few clouds
186,Auki,SB,-8.7676,160.7034,80.11,85,19,5.21,few clouds
187,Salalah,OM,17.0151,54.0924,87.89,62,20,12.66,few clouds
188,Ugoofaaru,MV,5.6667,73.0,85.14,74,86,16.84,overcast clouds
189,Saskylakh,RU,71.9167,114.0833,16.68,89,57,15.41,broken clouds
190,Bambous Virieux,MU,-20.3428,57.7575,82.22,69,40,11.5,scattered clouds
191,Mount Isa,AU,-20.7333,139.5,85.77,39,75,6.91,broken clouds
192,Waw,SS,7.7029,27.9953,84.31,59,99,4.99,overcast clouds
193,Haines Junction,CA,60.7522,-137.5108,37.35,87,100,1.14,overcast clouds
194,Oytal,KZ,42.9057,73.2697,81.01,41,0,10.65,clear sky
195,Boshnyakovo,RU,49.6333,142.1667,34.38,98,100,18.61,light snow
196,Atuona,PF,-9.8,-139.0333,77.83,80,17,15.08,light rain
197,Talaya,RU,61.3833,152.75,34.38,87,99,1.72,overcast clouds
198,Dicabisagan,PH,17.0818,122.4157,86.49,66,96,7.74,overcast clouds
199,Lavrentiya,RU,65.5833,-171.0,28.31,98,100,5.84,overcast clouds
200,Acapulco,MX,16.8634,-99.8901,78.62,83,20,3.44,few clouds
201,Vila Velha,BR,-20.3297,-40.2925,73.35,78,40,9.22,scattered clouds
202,Ladario,BR,-19.0047,-57.6017,63.12,57,5,2.89,clear sky
203,Yenagoa,NG,4.9247,6.2642,79.81,88,100,0.29,light rain
204,Angostura,MX,25.3667,-108.1833,70.47,66,3,0.65,clear sky
205,Moussoro,TD,13.6408,16.4901,94.55,23,100,5.48,overcast clouds
206,Vadso,NO,70.0744,29.7487,34.68,74,75,20.71,broken clouds
207,Najran,SA,17.4924,44.1277,88.45,11,30,14.5,scattered clouds
208,Charters Towers,AU,-20.1,146.2667,74.8,76,72,12.37,moderate rain
209,Cuamba,MZ,-14.8031,36.5372,76.73,62,12,2.21,few clouds
210,Bairiki,KI,1.3292,172.9752,82.4,78,20,10.36,few clouds
211,Birao,CF,10.2849,22.7882,87.96,42,99,4.72,overcast clouds
212,Katherine,AU,-14.4667,132.2667,91.72,24,0,11.5,clear sky
213,Altay,CN,47.8667,88.1167,60.15,50,63,16.17,broken clouds
214,Lakatoro,VU,-16.0999,167.4164,79.03,72,82,16.91,broken clouds
215,Alyangula,AU,-13.8483,136.4192,85.87,62,40,8.05,scattered clouds
216,Tigil,RU,57.8,158.6667,41.14,71,100,9.98,overcast clouds
217,Pasni,PK,25.2631,63.471,84.09,70,0,18.92,clear sky
218,Faanui,PF,-16.4833,-151.75,82.27,73,8,8.7,clear sky
219,Padang,ID,-0.9492,100.3543,89.65,65,100,4.56,overcast clouds
220,Partizanskoye,RU,55.5006,94.39,37.87,44,100,20.38,overcast clouds
221,Erzin,TR,36.9559,36.2,66.22,50,0,5.35,clear sky
222,Poso,ID,-1.3959,120.7524,81.72,84,100,2.84,overcast clouds
223,Huangchuan,CN,32.1272,115.0394,79.32,52,20,11.9,few clouds
224,Stromness,GB,58.965,-3.296,47.88,88,100,7.0,overcast clouds
225,Manggar,ID,-2.8833,108.2667,87.4,65,74,7.16,broken clouds
226,Chokurdakh,RU,70.6333,147.9167,15.98,92,13,5.12,few clouds
227,Phuntsholing,BT,26.8516,89.3884,89.37,55,34,4.36,scattered clouds
228,Mehamn,NO,71.0357,27.8492,32.07,64,99,21.23,overcast clouds
229,Salinopolis,BR,-0.6136,-47.3561,76.8,89,100,3.74,moderate rain
230,Kavieng,PG,-2.5744,150.7967,84.51,71,35,17.69,scattered clouds
231,Kapaa,US,22.0752,-159.319,78.78,82,20,14.97,few clouds
232,Inuvik,CA,68.3499,-133.7218,39.96,60,20,4.61,few clouds
233,Iqaluit,CA,63.7506,-68.5145,20.93,73,20,4.61,few clouds
234,Avera,US,33.194,-82.5271,57.25,89,0,6.64,clear sky
235,Shenzhen,CN,22.5455,114.0683,82.27,64,100,10.51,moderate rain
236,Lompoc,US,34.6391,-120.4579,51.69,76,0,28.99,clear sky
237,Klichka,RU,50.4457,117.996,69.31,15,23,16.02,few clouds
238,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,58,0,11.18,clear sky
239,Kulhudhuffushi,MV,6.6221,73.07,84.69,74,72,14.38,broken clouds
240,Riyadh,SA,24.6877,46.7219,80.74,14,2,10.56,clear sky
241,Ilulissat,GL,69.2167,-51.1,21.22,73,23,0.0,few clouds
242,Yuanping,CN,38.7153,112.7575,61.83,47,100,4.61,overcast clouds
243,Yining,CN,29.0361,114.5636,70.2,95,100,1.68,overcast clouds
244,Quelimane,MZ,-17.8786,36.8883,75.92,76,5,3.04,clear sky
245,Roma,US,43.2128,-75.4557,41.63,74,0,3.44,clear sky
246,Waitara,NZ,-38.925,174.25,61.48,81,89,8.1,overcast clouds
247,Kiunga,PG,-6.1219,141.2906,86.13,75,100,2.59,light rain
248,Aksu,CN,41.1231,80.2644,83.52,22,0,3.58,clear sky
249,Chunskiy,RU,56.0815,99.6342,40.75,39,100,16.67,overcast clouds
250,Tyulyachi,RU,55.8913,50.2399,57.06,41,1,11.3,clear sky
251,Babu,CN,24.4167,111.5167,77.79,78,100,6.31,overcast clouds
252,Henties Bay,NA,-22.116,14.2845,57.51,83,0,6.8,clear sky
