City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Leh,IN,2022-05-03 03:00:01,34.1667,77.5833,49.3,33,0,2.91
139,New Norfolk,AU,2022-05-03 02:55:47,-42.7826,147.0587,70.92,53,100,3.0
140,Coquimbo,CL,2022-05-03 03:00:03,-29.9533,-71.3436,59.86,73,0,1.63
141,Kahului,US,2022-05-03 03:00:04,20.8947,-156.47,74.84,92,100,10.0
142,Vila Franca Do Campo,PT,2022-05-03 03:00:05,37.7167,-25.4333,63.19,84,90,5.26
143,Port Elizabeth,ZA,2022-05-03 03:00:07,-33.918,25.5701,64.9,50,97,6.69
144,Jamestown,US,2022-05-03 02:55:13,42.097,-79.2353,49.01,93,100,1.99
145,Anloga,GH,2022-05-03 03:00:24,5.7947,0.8973,81.32,80,94,3.96
146,Abu Samrah,SY,2022-05-03 03:00:31,35.3029,37.1841,64.09,56,46,2.28
147,The Valley,AI,2022-05-03 03:00:41,18.217,-63.0578,79.11,82,100,19.24
148,Niquelandia,BR,2022-05-03 02:57:13,-14.4739,-48.4597,72.21,58,73,0.76
149,Wonthaggi,AU,2022-05-03 03:00:42,-38.6044,145.5913,66.81,56,4,15.08
150,Kununurra,AU,2022-05-03 03:00:47,-15.7667,128.7333,93.18,33,0,12.66
151,Cidreira,BR,2022-05-03 02:54:42,-30.1811,-50.2056,61.48,90,100,16.35
152,Alcudia,ES,2022-05-03 03:00:47,39.8532,3.1214,60.26,87,96,5.97
153,Neman,RU,2022-05-03 03:00:49,55.0311,22.0264,37.87,71,96,7.74
154,Rabaul,PG,2022-05-03 03:00:49,-4.1967,152.1721,84.06,70,78,5.23
155,Tiksi,RU,2022-05-03 03:00:50,71.6872,128.8694,18.07,80,26,4.14
156,Stephenville,US,2022-05-03 02:58:48,32.2207,-98.2023,78.24,72,0,11.5
157,Puerto Carreno,CO,2022-05-03 03:00:50,6.189,-67.4859,82.69,63,74,4.43
158,Vitim,RU,2022-05-03 03:00:51,59.4511,112.5578,36.16,57,100,10.07
159,Parabel,RU,2022-05-03 03:00:52,58.6978,81.4825,34.92,95,99,14.54
160,Bolivar,US,2022-05-03 03:00:52,37.6145,-93.4105,63.82,91,100,1.99
161,Ust-Kut,RU,2022-05-03 03:00:53,56.7938,105.7672,49.96,79,94,16.49
162,Djenne,ML,2022-05-03 03:00:53,13.9061,-4.5533,88.61,13,54,8.86
163,Balakhta,RU,2022-05-03 03:00:54,55.38,91.6,45.79,48,9,11.12
164,Talcahuano,CL,2022-05-03 03:00:54,-36.7167,-73.1167,51.08,74,3,7.25
165,Dhidhdhoo,MV,2022-05-03 03:00:55,6.8833,73.1,86.07,73,99,17.47
166,Chokurdakh,RU,2022-05-03 03:00:55,70.6333,147.9167,28.24,89,100,9.93
167,Mount Gambier,AU,2022-05-03 02:54:24,-37.8333,140.7667,67.91,52,100,13.8
168,Batagay-Alyta,RU,2022-05-03 03:00:56,67.8006,130.4114,19.17,81,100,5.55
169,Quelimane,MZ,2022-05-03 03:00:57,-17.8786,36.8883,67.21,91,81,3.74
170,Peniche,PT,2022-05-03 03:00:57,39.3558,-9.3811,58.28,85,61,20.92
171,Saint Anthony,US,2022-05-03 03:00:58,45.0205,-93.218,48.65,65,100,5.75
172,Noyabrsk,RU,2022-05-03 03:00:58,63.1994,75.4507,28.18,84,45,8.34
173,Padang,ID,2022-05-03 03:00:59,-0.9492,100.3543,80.65,82,100,3.0
174,Upernavik,GL,2022-05-03 03:01:00,72.7868,-56.1549,-0.45,95,98,3.76
175,Fairbanks,US,2022-05-03 03:01:00,64.8378,-147.7164,53.56,30,75,4.61
176,Cedar City,US,2022-05-03 03:01:01,37.6775,-113.0619,59.4,23,70,8.28
177,Carnarvon,AU,2022-05-03 02:53:19,-24.8667,113.6333,77.07,36,0,12.66
178,Labuhan,ID,2022-05-03 03:01:01,-6.8844,112.2051,86.04,70,91,8.93
179,Fuzhou,CN,2022-05-03 03:00:52,26.0614,119.3061,72.75,30,43,7.78
180,Mabai,CN,2022-05-03 03:02:02,23.0128,104.4508,63.7,47,10,5.23
181,Priiskovyy,RU,2022-05-03 03:02:03,51.9333,116.6333,54.79,38,100,11.12
182,Verkhovye,RU,2022-05-03 03:02:04,52.8119,37.2425,45.34,78,63,9.78
183,Surt,LY,2022-05-03 03:02:05,31.2089,16.5887,60.4,77,47,5.01
184,Bashtanka,UA,2022-05-03 03:02:05,47.4072,32.4387,46.33,74,17,4.85
185,Hilo,US,2022-05-03 03:02:06,19.7297,-155.09,75.27,94,100,6.91
186,Linqing,CN,2022-05-03 03:00:57,36.8456,115.7117,86.25,17,3,16.4
187,Bethel,US,2022-05-03 03:00:11,41.3712,-73.414,51.21,91,100,1.01
188,Labuan,MY,2022-05-03 03:02:07,5.2767,115.2417,81.95,74,100,2.82
189,San Patricio,US,2022-05-03 03:02:07,28.017,-97.5169,80.46,84,67,15.77
190,Sorland,NO,2022-05-03 03:02:08,67.667,12.6934,35.94,60,100,23.67
191,Ahipara,NZ,2022-05-03 03:02:08,-35.1667,173.1667,68.11,63,100,6.15
192,High Level,CA,2022-05-03 03:00:49,58.5169,-117.136,46.09,61,99,6.82
193,Ambilobe,MG,2022-05-03 03:02:09,-13.2,49.05,69.28,93,10,3.24
194,Bud,US,2022-05-03 03:02:10,39.447,-86.1758,61.75,76,100,5.23
195,Biltine,TD,2022-05-03 03:02:11,14.5333,20.9167,84.97,17,24,0.29
196,Danielskuil,ZA,2022-05-03 03:02:11,-28.1887,23.5395,53.53,60,0,6.89
197,Sabzevar,IR,2022-05-03 03:02:12,36.2126,57.6819,60.87,60,100,9.78
198,Waipawa,NZ,2022-05-03 03:02:12,-41.4122,175.5153,63.9,69,30,2.3
199,Oktyabrskoye,RU,2022-05-03 03:02:13,43.0645,44.7417,42.94,100,100,2.24
200,Kruisfontein,ZA,2022-05-03 02:55:50,-34.0033,24.7314,63.91,42,100,7.52
201,Pisco,PE,2022-05-03 02:56:02,-13.7,-76.2167,64.45,77,0,2.3
202,Merauke,ID,2022-05-03 03:02:14,-8.4667,140.3333,87.42,64,21,8.9
203,Mareeba,AU,2022-05-03 03:02:14,-17.0,145.4333,81.45,70,57,6.8
204,Gwadar,PK,2022-05-03 03:02:15,25.1216,62.3254,84.52,66,0,15.28
205,Santa Marta,CO,2022-05-03 03:02:15,11.2408,-74.199,84.88,71,91,4.0
206,Chernyshevskiy,RU,2022-05-03 03:02:16,63.0128,112.4714,32.88,65,100,11.79
207,Moose Factory,CA,2022-05-03 03:02:17,51.2585,-80.6094,42.78,100,100,4.61
208,Lesnyye Polyany,RU,2022-05-03 03:02:17,55.9667,37.8667,46.02,85,81,6.91
209,Rochester,US,2022-05-03 02:59:16,43.1548,-77.6156,53.98,73,99,1.99
210,Pevek,RU,2022-05-03 03:02:18,69.7008,170.3133,27.77,93,100,2.35
211,Torrevieja,ES,2022-05-03 03:02:19,37.9787,-0.6822,60.12,80,91,1.01
212,Port-Gentil,GA,2022-05-03 03:02:19,-0.7193,8.7815,80.06,80,100,4.97
213,Raudeberg,NO,2022-05-03 03:02:20,61.9875,5.1352,36.27,91,47,12.1
214,Harpanahalli,IN,2022-05-03 03:02:20,14.8,75.9833,80.67,60,7,10.38
215,Nyurba,RU,2022-05-03 03:02:21,63.2842,118.3319,38.82,61,26,3.09
216,Saldanha,ZA,2022-05-03 03:02:21,-33.0117,17.9442,59.9,95,23,14.63
217,Maldonado,UY,2022-05-03 02:58:34,-34.6667,-54.9167,52.99,81,100,2.33
218,Poum,NC,2022-05-03 03:02:22,-20.2333,164.0167,78.94,76,0,10.83
219,Siddharthanagar,NP,2022-05-03 03:02:23,27.5,83.45,84.69,49,100,11.21
220,Olinda,BR,2022-05-03 03:02:23,-8.0089,-34.8553,78.22,85,49,9.15
221,Khatanga,RU,2022-05-03 03:02:24,71.9667,102.5,21.54,79,98,0.81
222,Bonavista,CA,2022-05-03 03:02:24,48.6499,-53.1147,36.14,95,100,16.08
223,Muroto,JP,2022-05-03 03:02:25,33.2833,134.15,61.05,50,1,5.84
224,Clyde River,CA,2022-05-03 03:02:25,70.4692,-68.5914,-1.43,97,13,5.61
225,Vestmannaeyjar,IS,2022-05-03 03:02:26,63.4427,-20.2734,43.61,86,100,9.62
226,Sulechow,PL,2022-05-03 03:03:26,52.0836,15.6251,51.66,39,54,2.68
227,Lasa,IT,2022-05-03 03:03:27,46.6166,10.7002,41.36,94,55,0.6
